ticker,gvkey,fyear,comp_name,industry_id,industry_name,ceo_id,ceo_name,ceo_gender,ceo_age,ceo_tenure,ceo_total_compensation,profit,equity,comp_perf_roe,sales,assets,liabilities,mktval
AIR,001004,2015,AAR CORP,41,Wholesale,5623,David P. Storch,MALE,63,19,4674.464,47.7,865.8,0.0550935550935551,1662.6,1442.1,576.3,842.51115
AIR,001004,2016,AAR CORP,41,Wholesale,5623,David P. Storch,MALE,64,20,6072.592,56.5,914.2,0.06180266900021877,1767.6,1504.1,589.9,1200.3287599999999
AIR,001004,2017,AAR CORP,41,Wholesale,5623,David P. Storch,MALE,65,21,6283.565,15.6,936.3,0.016661326497917333,1748.3,1524.7,588.4,1551.45804
AIR,001004,2018,AAR CORP,41,Wholesale,51547,"John McClain Holmes, III",MALE,42,0,3344.424,7.5,905.9,0.008279059498840932,2051.8,1517.2,611.3,1046.77092
AIR,001004,2019,AAR CORP,41,Wholesale,51547,"John McClain Holmes, III",MALE,43,1,4736.151,4.4,902.6,0.004874806115665854,2089.3,2079,1176.4,707.9064900000001
AIR,001004,2020,AAR CORP,41,Wholesale,51547,"John McClain Holmes, III",MALE,44,2,4122.636,35.8,974.4,0.03674055829228243,1651.4,1539.7,565.3,1476.90625
AIR,001004,2021,AAR CORP,41,Wholesale,51547,"John McClain Holmes, III",MALE,45,3,12326.516,78.7,1034.5,0.07607539874335428,1817.1,1573.9,539.4,1706.5540199999998
AIR,001004,2022,AAR CORP,41,Wholesale,51547,"John McClain Holmes, III",MALE,46,4,6708.275,90.2,1099.1,0.08206714584660177,1990.6,1833.1,734,1749.6407599999998
AIR,001004,2023,AAR CORP,41,Wholesale,51547,"John McClain Holmes, III",MALE,47,5,7865.228,46.3,1189.8,0.038914103210623635,2321.2,2770,1580.2,2533.91706
AIR,001004,2024,AAR CORP,41,Wholesale,51547,"John McClain Holmes, III",MALE,48,6,8146.124,12.5,1211.6,0.010316936282601519,2767,2844.6,1633,2200.3203
AAL,001045,2015,AMERICAN AIRLINES GROUP INC,40,Transportation,49256,"William Douglas Parker, BEC, M.B.A.",MALE,53,2,11418.547,7610,5635,1.3504880212954746,40990,48415,42780,26452.7417
AAL,001045,2016,AMERICAN AIRLINES GROUP INC,40,Transportation,49256,"William Douglas Parker, BEC, M.B.A.",MALE,54,3,11140.763,2676,3785,0.707001321003963,40180,51274,47489,23685.556859999997
AAL,001045,2017,AMERICAN AIRLINES GROUP INC,40,Transportation,49256,"William Douglas Parker, BEC, M.B.A.",MALE,55,4,12175.486,1919,3926,0.48879266428935303,42207,51396,47470,24740.681239999998
AAL,001045,2018,AMERICAN AIRLINES GROUP INC,40,Transportation,49256,"William Douglas Parker, BEC, M.B.A.",MALE,56,5,11999.517,1412,-169,-8.355029585798816,44541,60580,60749,14790.21921
AAL,001045,2019,AMERICAN AIRLINES GROUP INC,40,Transportation,49256,"William Douglas Parker, BEC, M.B.A.",MALE,57,6,11571.714,1686,-118,-14.288135593220339,45768,59995,60113,12280.86204
AAL,001045,2020,AMERICAN AIRLINES GROUP INC,40,Transportation,49256,"William Douglas Parker, BEC, M.B.A.",MALE,58,7,10657.505,-8885,-6867,1.2938692296490462,17337,62008,68875,9800.7396
AAL,001045,2021,AMERICAN AIRLINES GROUP INC,40,Transportation,49256,"William Douglas Parker, BEC, M.B.A.",MALE,59,8,7238.011,-1993,-7340,0.2715258855585831,29882,66467,73807,11633.19488
AAL,001045,2022,AMERICAN AIRLINES GROUP INC,40,Transportation,49258,"Robert D. Isom, Jr.",MALE,58,0,4886.649,127,-5799,-0.021900327642697018,48971,64716,70515,8276.16624
AAL,001045,2023,AMERICAN AIRLINES GROUP INC,40,Transportation,49258,"Robert D. Isom, Jr.",MALE,59,1,11938.162,822,-5202,-0.1580161476355248,52788,63058,68260,8989.71102
AAL,001045,2024,AMERICAN AIRLINES GROUP INC,40,Transportation,49258,"Robert D. Isom, Jr.",MALE,60,2,15610.843,846,-3977,-0.21272315815941664,54211,61783,65760,11461.37538
ABT,001078,2015,ABBOTT LABORATORIES,12,Medical Equipment,13896,"Miles D. White, M.B.A.",MALE,60,16,18789.474,4423,21211,0.20852387911932488,20405,41247,19921,66137.38514999999
ABT,001078,2016,ABBOTT LABORATORIES,12,Medical Equipment,13896,"Miles D. White, M.B.A.",MALE,61,17,16424.876,1400,20538,0.0681663258350375,20853,52666,31949,56572.89828999999
ABT,001078,2017,ABBOTT LABORATORIES,12,Medical Equipment,13896,"Miles D. White, M.B.A.",MALE,62,18,15620.117,477,30897,0.01543839207690067,27390,76250,45152,99507.36614000001
ABT,001078,2018,ABBOTT LABORATORIES,12,Medical Equipment,13896,"Miles D. White, M.B.A.",MALE,63,19,22872.393,2368,30524,0.07757829904337571,30578,67173,36451,126983.92227
ABT,001078,2019,ABBOTT LABORATORIES,12,Medical Equipment,13896,"Miles D. White, M.B.A.",MALE,64,20,22094.981,3687,31088,0.11859881626351004,31904,67887,36586,153091.01058
ABT,001078,2020,ABBOTT LABORATORIES,12,Medical Equipment,59834,Robert B. Ford,MALE,46,0,16300.322,4495,32784,0.13710956564177648,34608,72548,39545,193931.97269999998
ABT,001078,2021,ABBOTT LABORATORIES,12,Medical Equipment,59834,Robert B. Ford,MALE,47,1,22159.543,7071,35802,0.19750293279705045,43075,75196,39172,248276.90068000002
ABT,001078,2022,ABBOTT LABORATORIES,12,Medical Equipment,59834,Robert B. Ford,MALE,48,2,21452.566,6933,36686,0.18898217303603554,43653,74438,37533,190792.51305
ABT,001078,2023,ABBOTT LABORATORIES,12,Medical Equipment,59834,Robert B. Ford,MALE,49,3,19602.891,5723,38603,0.14825272647203586,40109,73214,34387,190869.74532
ABT,001078,2024,ABBOTT LABORATORIES,12,Medical Equipment,59834,Robert B. Ford,MALE,50,4,21434.282,13402,47664,0.2811765693185633,41950,81414,33513,195872.36078000002
AMD,001161,2015,ADVANCED MICRO DEVICES,36,Electronic Equipment,46953,"Lisa T. Su, Ph.D.",FEMALE,45,1,6559.194,-660,-412,1.6019417475728155,3991,3109,3521,2273.04
AMD,001161,2016,ADVANCED MICRO DEVICES,36,Electronic Equipment,46953,"Lisa T. Su, Ph.D.",FEMALE,46,2,11724.775,-497,416,-1.1947115384615385,4272,3321,2905,10602.9
AMD,001161,2017,ADVANCED MICRO DEVICES,36,Electronic Equipment,46953,"Lisa T. Su, Ph.D.",FEMALE,47,3,10894.82,43,611,0.07037643207855974,5329,3540,2929,9940.76
AMD,001161,2018,ADVANCED MICRO DEVICES,36,Electronic Equipment,46953,"Lisa T. Su, Ph.D.",FEMALE,48,4,13356.393,337,1266,0.26619273301737756,6475,4556,3290,18552.3
AMD,001161,2019,ADVANCED MICRO DEVICES,36,Electronic Equipment,46953,"Lisa T. Su, Ph.D.",FEMALE,49,5,58534.289,341,2827,0.12062256809338522,6731,6028,3201,53656.2
AMD,001161,2020,ADVANCED MICRO DEVICES,36,Electronic Equipment,46953,"Lisa T. Su, Ph.D.",FEMALE,50,6,27141.878,2490,5837,0.4265890011992462,9763,8962,3125,111060.81
AMD,001161,2021,ADVANCED MICRO DEVICES,36,Electronic Equipment,46953,"Lisa T. Su, Ph.D.",FEMALE,51,7,29498.107,3162,7497,0.4217687074829932,16434,12419,4922,173687.30000000002
AMD,001161,2022,ADVANCED MICRO DEVICES,36,Electronic Equipment,46953,"Lisa T. Su, Ph.D.",FEMALE,52,8,30219.921,1320,54750,0.02410958904109589,23601,67580,12830,104409.23999999999
AMD,001161,2023,ADVANCED MICRO DEVICES,36,Electronic Equipment,46953,"Lisa T. Su, Ph.D.",FEMALE,53,9,8500.023,854,55892,0.015279467544550203,22680,67885,11993,238214.56
AMD,001161,2024,ADVANCED MICRO DEVICES,36,Electronic Equipment,46953,"Lisa T. Su, Ph.D.",FEMALE,54,10,30996.392,1641,57568,0.028505419677598665,25785,69226,11658,195921.38
APD,001209,2015,AIR PRODUCTS & CHEMICALS INC,14,Chemicals,49820,Seifollah Ghasemi,MALE,71,1,12958.113,1277.9,7249,0.17628638432887295,9894.9,17438.1,10057,27475.501220000002
APD,001209,2016,AIR PRODUCTS & CHEMICALS INC,14,Chemicals,49820,Seifollah Ghasemi,MALE,72,2,11535.833,631.1,7079.6,0.0891434544324538,9524.4,18055.3,10841.9,32676.54934
APD,001209,2017,AIR PRODUCTS & CHEMICALS INC,14,Chemicals,49820,Seifollah Ghasemi,MALE,73,3,13959.766,3000.4,10086.2,0.2974757589577839,8187.6,18467.2,8281.7,33018.28212
APD,001209,2018,AIR PRODUCTS & CHEMICALS INC,14,Chemicals,49820,Seifollah Ghasemi,MALE,74,4,13941.507,1497.8,10857.5,0.13795072530508865,8930.2,19178.3,8002,36670.1478
APD,001209,2019,AIR PRODUCTS & CHEMICALS INC,14,Chemicals,49820,Seifollah Ghasemi,MALE,75,5,17031.957,1760,11053.6,0.15922414417022507,8918.9,18942.8,7554.5,48901.2719
APD,001209,2020,AIR PRODUCTS & CHEMICALS INC,14,Chemicals,49820,Seifollah Ghasemi,MALE,76,6,15597.376,1886.7,12079.8,0.15618636070133612,8856.3,25168.5,12725.4,65832.12362
APD,001209,2021,AIR PRODUCTS & CHEMICALS INC,14,Chemicals,49820,Seifollah Ghasemi,MALE,77,7,13819.01,2099.1,13539.7,0.15503297709698147,10323,26859.2,12771.2,56701.98567
APD,001209,2022,AIR PRODUCTS & CHEMICALS INC,14,Chemicals,49820,Seifollah Ghasemi,MALE,78,8,18483.105,2256.1,13144,0.1716448569689592,12698.6,27192.6,13490.2,51628.590469999996
APD,001209,2023,AIR PRODUCTS & CHEMICALS INC,14,Chemicals,49820,Seifollah Ghasemi,MALE,79,9,9994.108,2300.2,14312.9,0.1607081723480217,12600,32002.5,16342.2,62971.47999999999
APD,001209,2024,AIR PRODUCTS & CHEMICALS INC,14,Chemicals,49820,Seifollah Ghasemi,MALE,80,10,15890.696,3828.2,17036.5,0.22470577876911335,12100.6,39574.6,20900.9,66209.03928000001
ALK,001230,2015,ALASKA AIR GROUP INC,40,Transportation,21571,Bradley D. Tilden,MALE,54,3,3601.753,848,2411,0.3517212774782248,5598,6533,4122,10077.83925
ALK,001230,2016,ALASKA AIR GROUP INC,40,Transportation,21571,Bradley D. Tilden,MALE,55,4,3886.411,814,2931,0.2777209143636984,5931,9962,7031,10942.893440000002
ALK,001230,2017,ALASKA AIR GROUP INC,40,Transportation,21571,Bradley D. Tilden,MALE,56,5,5238.064,1034,3721,0.277882289707068,7933,10740,7019,9046.21411
ALK,001230,2018,ALASKA AIR GROUP INC,40,Transportation,21571,Bradley D. Tilden,MALE,57,6,4374.845,437,3751,0.11650226606238337,8264,10912,7161,7496.3549
ALK,001230,2019,ALASKA AIR GROUP INC,40,Transportation,21571,Bradley D. Tilden,MALE,58,7,4718.444,769,4331,0.17755714615562226,8781,12993,8662,8333.25
ALK,001230,2020,ALASKA AIR GROUP INC,40,Transportation,21571,Bradley D. Tilden,MALE,59,8,5421.099,-1324,2988,-0.4431057563587684,3566,14046,11058,6459.336
ALK,001230,2021,ALASKA AIR GROUP INC,40,Transportation,40103,Benito Minicucci,MALE,54,0,5130.162,478,3801,0.1257563799000263,6176,13951,10150,6559.7026000000005
ALK,001230,2022,ALASKA AIR GROUP INC,40,Transportation,40103,Benito Minicucci,MALE,55,1,6487.981,58,3816,0.01519916142557652,9646,14186,10370,5476.30996
ALK,001230,2023,ALASKA AIR GROUP INC,40,Transportation,40103,Benito Minicucci,MALE,56,2,8570.214,235,4113,0.05713591052759543,10426,14613,10500,4926.3363
ALK,001230,2024,ALASKA AIR GROUP INC,40,Transportation,40103,Benito Minicucci,MALE,57,3,3490.361,395,4372,0.0903476669716377,11735,19768,15396,7971.95525
MATX,001254,2015,MATSON INC,40,Transportation,26876,Matthew J. Cox,MALE,54,3,4380.034,103,450.6,0.22858411007545493,1884.9,1669.8,1219.2,1854.4050000000002
MATX,001254,2016,MATSON INC,40,Transportation,26876,Matthew J. Cox,MALE,55,4,3947.532,80.5,471.5,0.17073170731707318,1941.6,2015.5,1544,1518.231
MATX,001254,2017,MATSON INC,40,Transportation,26876,Matthew J. Cox,MALE,56,5,4306.353,232,678.2,0.3420819817163078,2046.9,2247.5,1569.3,1268.2
MATX,001254,2018,MATSON INC,40,Transportation,26876,Matthew J. Cox,MALE,57,6,4517.202,109,755.3,0.1443135178074937,2222.8,2430.4,1675.1,1367.2540000000001
MATX,001254,2019,MATSON INC,40,Transportation,26876,Matthew J. Cox,MALE,58,7,4173.727,82.7,805.7,0.10264366389474991,2203.1,2845.4,2039.7,1750.3199999999997
MATX,001254,2020,MATSON INC,40,Transportation,26876,Matthew J. Cox,MALE,59,8,5115.089,193.1,961.2,0.20089471493965874,2383.3,2900.6,1939.4,2461.1040000000003
MATX,001254,2021,MATSON INC,40,Transportation,26876,Matthew J. Cox,MALE,60,9,5844.916,927.4,1667.4,0.55619527407940506,3925.3,3693.1,2025.7,3691.23
MATX,001254,2022,MATSON INC,40,Transportation,26876,Matthew J. Cox,MALE,61,10,6027.87,1063.9,2296.9,0.46318951630458444,4343,4330,2033.1,2269.113
MATX,001254,2023,MATSON INC,40,Transportation,26876,Matthew J. Cox,MALE,62,11,5969.645,297.1,2400.7,0.1237555712917066,3094.6,4294.6,1893.9,3770.24
MATX,001254,2024,MATSON INC,40,Transportation,26876,Matthew J. Cox,MALE,63,12,6094.107,476.4,2652,0.17963800904977376,3421.8,4595.4,1943.4,4449.72
HON,001300,2015,HONEYWELL INTERNATIONAL INC,48,Other,25016,"David M. Cote, J.D.",MALE,62,13,33760.446,4768,18283,0.26078871082426297,38581,49316,30608,79790.328
HON,001300,2016,HONEYWELL INTERNATIONAL INC,48,Other,25016,"David M. Cote, J.D.",MALE,63,14,17628.542,4809,19369,0.24828333935670402,39302,54146,34596,88138.68
HON,001300,2017,HONEYWELL INTERNATIONAL INC,48,Other,54028,Darius E. Adamczyk,MALE,51,0,19789.152,1655,17276,0.09579763834220885,40534,59387,41943,115158.024
HON,001300,2018,HONEYWELL INTERNATIONAL INC,48,Other,54028,Darius E. Adamczyk,MALE,52,1,18651.522,6765,18180,0.3721122112211221,41802,57773,39408,96394.75200000001
HON,001300,2019,HONEYWELL INTERNATIONAL INC,48,Other,54028,Darius E. Adamczyk,MALE,53,2,19776.997,6143,18494,0.3321617821996323,36709,58679,39966,125864.7
HON,001300,2020,HONEYWELL INTERNATIONAL INC,48,Other,54028,Darius E. Adamczyk,MALE,54,3,18264.441,4779,17549,0.2723232092996752,32637,64586,46789,148209.36
HON,001300,2021,HONEYWELL INTERNATIONAL INC,48,Other,54028,Darius E. Adamczyk,MALE,55,4,25491.888,5542,18569,0.29845441326942757,34392,64470,45221,142787.648
HON,001300,2022,HONEYWELL INTERNATIONAL INC,48,Other,54028,Darius E. Adamczyk,MALE,56,5,24680.145,4966,16697,0.29741869796969517,35466,62275,44949,143066.68000000002
HON,001300,2023,HONEYWELL INTERNATIONAL INC,48,Other,69004,Vimal M. Kapur,MALE,58,0,14117.792,5658,15856,0.3568365287588295,36662,61525,45084,136688.978
HON,001300,2024,HONEYWELL INTERNATIONAL INC,48,Other,69004,Vimal M. Kapur,MALE,59,1,17778.976,5705,18619,0.30640743326709274,38498,75196,56035,146783.322
SWKS,001327,2015,SKYWORKS SOLUTIONS INC,36,Electronic Equipment,17159,David J. Aldrich,MALE,65,15,10158.055,798.3,3159.2,0.25269055457077744,3258.4,3719.4,560.2,16025.163
SWKS,001327,2016,SKYWORKS SOLUTIONS INC,36,Electronic Equipment,17159,David J. Aldrich,MALE,66,16,7015.382,995.2,3541.4,0.2810188061218727,3289,3855.4,314,14078.286
SWKS,001327,2017,SKYWORKS SOLUTIONS INC,36,Electronic Equipment,24897,Liam K. Griffin,MALE,50,1,8701.859,1010.2,4065.7,0.24846889834468852,3651.4,4573.6,507.9,18657.89
SWKS,001327,2018,SKYWORKS SOLUTIONS INC,36,Electronic Equipment,24897,Liam K. Griffin,MALE,51,2,9342.113,918.4,4097,0.2241640224554552,3868,4828.9,731.9,16091.954
SWKS,001327,2019,SKYWORKS SOLUTIONS INC,36,Electronic Equipment,24897,Liam K. Griffin,MALE,52,3,13660.593,853.6,4122.3,0.20706886932052496,3376.8,4839.6,717.3,13480.425
SWKS,001327,2020,SKYWORKS SOLUTIONS INC,36,Electronic Equipment,24897,Liam K. Griffin,MALE,53,4,21800.44,814.8,4164.2,0.19566783535853224,3355.7,5106.7,942.5,24094.8
SWKS,001327,2021,SKYWORKS SOLUTIONS INC,36,Electronic Equipment,24897,Liam K. Griffin,MALE,54,5,16150.421,1498.3,5297.1,0.2828528817654943,5109.1,8590.7,3293.6,27238.134000000002
SWKS,001327,2022,SKYWORKS SOLUTIONS INC,36,Electronic Equipment,24897,Liam K. Griffin,MALE,55,6,16667.162,1275.2,5469,0.2331687694276833,5485.5,8873.8,3404.8,13660.253999999999
SWKS,001327,2023,SKYWORKS SOLUTIONS INC,36,Electronic Equipment,24897,Liam K. Griffin,MALE,56,7,2706.51,982.8,6082.7,0.161572985680701,4772.4,8426.7,2344,15725.105000000001
SWKS,001327,2024,SKYWORKS SOLUTIONS INC,36,Electronic Equipment,24897,Liam K. Griffin,MALE,57,8,18096.527,596,6336.7,0.09405526535894078,4178,8283.3,1946.6,15793.323
HES,001380,2015,HESS CORP,30,Petroleum and Natural Gas,79,John B. Hess,MALE,61,20,12933.682,-3056,19386,-0.15763953368410194,6636,34195,13794,13867.510079999998
HES,001380,2016,HESS CORP,30,Petroleum and Natural Gas,79,John B. Hess,MALE,62,21,11705.332,-6132,14533,-0.4219362829422693,4762,28621,13030,19716.217670000002
HES,001380,2017,HESS CORP,30,Petroleum and Natural Gas,79,John B. Hess,MALE,63,22,12764.872,-4074,11050,-0.36868778280542985,5466,23112,10758,14955.613379999999
